name;C;Cai0_cilia;DV;EK;EL;Jpumpmax_cilia;Re;VCa_cilia;V_IK;a_IK;alpha_cilia;angle_min;angle_span;b_IK;gCa_cilia;gKCa_cilia;gL;g_IK;kCa_cilia;k_IK;nCaM_Ca_cilia;nCaM_KCa_cilia;n_electromotor;pKCa;pKKCa;pK_electromotor;p_ICa;taue;taum_Ca_cilia;v_cilia
;farad;mmolar;volt;volt;volt;1/second;ohm;volt;volt;second;1/second;1;1;second;amp;amp;siemens;amp;volt;volt;1;1;1;1;1;1;1;second;second;meter**3
2020-05-19 14.59.45 cell;0.000000000307;0.0001;0.025248778;-0.048;-0.024431028;868.5759889;123744874;-0.003691932;0.005930874;0.0001;6.22942763;0.324894412;-4.058905413;0.004706971;0.00000000989;0.000000468;0.00000000638;0.000000106;0.005153998;0.003719685;2.266769111;6.334268808;10.44975831;3.884914528;6.999015306;5.198888449;2;0.001009974;0.000955741;0.0000000000000017
2020-05-19 17.28.48 cell;0.000000000206;0.0001;0.025248778;-0.048;-0.023686448;1487.366557;273023597.6;-0.004138546;0.026881249;0.0001;13.35593121;0.555044933;-2.257682752;0.006382221;0.0000000107;0.000000000165;0.0000000108;0.00000396;0.005283123;0.00955844;1.079340205;7.90749624;0.362292301;2.494742902;5.17500112;-0.177762548;2;0.004237138;0.0001;0.0000000000000017
2020-05-20 19.42.53 cell;0.00000000041;0.0001;0.025248778;-0.048;-0.023926872;1736.610892;41464624.62;0.002174939;0.00306386;0.0001;19.14418644;0.758111189;-4.889535191;0.003414036;0.000001;0.00000000769;0.0000000143;0.000000132;0.004318627;0.004921157;4.366214306;1.174555931;13.71621348;4.04168831;8.380933396;3.787231848;2;0.000254473;0.00073281;0.0000000000000017
2020-05-22 15.14.28 cell;0.000000000362;0.0001;0.025248778;-0.048;-0.023731796;932.0955156;136559252.7;0.006150359;0.031097719;0.0001;5.864245754;0.865986839;2.669193363;0.001;0.000000248;0.000000124;0.00000000949;0.00000396;0.005429522;0.007663042;4.861551142;6.343740932;2.375408343;4.096473801;6.523187753;4.863248769;2;0.001508546;0.001573308;0.0000000000000017
2020-05-22 16.11.34 cell;0.000000000246;0.0001;0.025248778;-0.048;-0.023693746;863.4673725;164030718.7;0.007504858;0.009075182;0.0001;5.488125037;-0.080583907;-2.869893138;0.001;0.000000205;0.000000000283;0.00000000708;0.000000111;0.005676298;0.004794299;3.927681705;5.249543704;7.695597691;3.579776038;5.143313794;3.998662268;2;0.001894728;0.001046041;0.0000000000000017
2020-06-09 18.55.41 cell;0.000000000297;0.0001;0.025248778;-0.048;-0.023175914;689.1454775;213092173.1;0.004436892;0.009204386;0.0001;8.974994043;0.526258699;-3.927574322;0.003848956;0.000001;0.000000384;0.0000000104;0.000000117;0.004372489;0.005449565;5.886167496;3.8803534;3.03244969;3.801869734;7.08710162;3.443218038;2;0.001284492;0.000864381;0.0000000000000017
2020-08-26 16.43.31 cell;0.000000000289;0.0001;0.025248778;-0.048;-0.023197955;698.5718725;98468853.51;0.003438925;0.005316208;0.0001;5.93821421;0.139457029;3.836524341;0.005986616;0.000000999;0.000000213;0.00000000886;0.000000112;0.004188531;0.004575386;6.624887236;4.176507007;10.73046142;3.796761165;6.654168462;4.220734389;2;0.001170292;0.000887989;0.0000000000000017
2020-08-26 17.26.13 cell;0.000000000268;0.0001;0.025248778;-0.048;-0.023576441;565.3108709;86338006.55;-0.000847277;0.002773361;0.0001;4.2101445;0.330559285;-3.694116083;0.003878324;0.00000014;0.000000000431;0.00000000613;0.0000000936;0.004110996;0.003966721;5.168255378;5.828971683;14.06395487;3.604630586;5.036833126;4.36007013;2;0.000741664;0.000946789;0.0000000000000017
2020-08-26 18.11.19 cell;0.000000000291;0.0001;0.025248778;-0.048;-0.023505053;397.8657193;59335080.05;0.016783337;0.016729882;0.0001;6.60772023;-0.11398635;-5.896810312;0.002150011;0.000001;0.0000000936;0.00000000623;0.0000000692;0.006191267;0.004855216;6.266570776;2.755189385;6.353443574;3.679901421;7.181139658;-1.325401446;2;0.000611272;0.000942382;0.0000000000000017
2020-09-30 18.25.38 cell;0.000000000244;0.0001;0.025248778;-0.048;-0.022474914;908.4756361;51530064.16;-0.000493847;0.039997465;0.0001;2.759589863;0.439129783;-3.88772061;0.004824819;0.0000000914;0.000000000805;0.0000000118;0.00000129;0.004592692;0.015706598;3.064624602;1.127038361;20;3.588452858;7.887438898;3.54243219;2;0.000756666;0.001086411;0.0000000000000017
2020-09-30 20.02.11 cell;0.000000000322;0.0001;0.025248778;-0.048;-0.023046238;1477.451221;99646512.94;-0.004978798;0.0000998;0.0001;9.400714228;0.237603517;2.843417965;0.005056992;0.000000262;0.00000000015;0.0000000253;0.000000145;0.003414105;0.00418716;4.284926359;6.904134024;1.222171824;3.573299175;4.85563309;3.77860357;2;0.001758746;0.000647208;0.0000000000000017
2020-10-12 16.08.21 cell;0.000000000252;0.0001;0.025248778;-0.048;-0.019293889;700.705215;75663056.25;-0.008771286;0.000360076;0.0001;139.2859857;0.645334182;-3.990622708;0.004234978;0.0000000508;0.000000000328;0.00000000408;0.000000172;0.002781257;0.005846587;3.921059568;1.446725232;9.16353057;3.396224548;2.001279501;0.303565199;2;0.000329571;0.000346972;0.0000000000000017
2020-10-12 17.28.27 cell;0.000000000259;0.0001;0.025248778;-0.048;-0.024555034;1709.548402;89495204.76;-0.001805991;0.021254675;0.0001;0.031395193;0.88703716;-3.97119668;0.01156541;0.000000122;0.00000000324;0.0000000143;0.00000396;0.004567825;0.006656083;2.891855523;1.608718727;14.53244266;3.133220701;7.561791664;1.536287136;2;0.000286883;0.000513038;0.0000000000000017
2020-10-13 19.14.05 cell;0.000000000491;0.0001;0.025248778;-0.048;-0.022808453;1173.036707;275238697.1;-0.005318773;0.001424277;0.0001;45.14695578;0.73606868;-4.360652009;0.00480154;0.000000549;0.000000000594;0.000000014;0.000000148;0.002970383;0.005087959;5.160137264;1.000445948;7.852228656;4.184486909;5.877364156;0.479768443;2;0.001037395;0.000760379;0.0000000000000017
2020-10-15 18.30.21 cell;0.000000000289;0.0001;0.025248778;-0.048;-0.022175578;712.0044199;201616252.4;-0.002373778;0.001056217;0.0001;35.3887138;-0.840711759;-1.788535561;0.004291278;0.000000135;0.00000000275;0.00000000792;0.000000111;0.003747382;0.006353011;3.230131601;1.000000002;3.689268633;3.616757191;7.521325948;1.520202219;2;0.000356739;0.001138751;0.0000000000000017
2020-10-15 20.07.58 cell;0.000000000365;0.0001;0.025248778;-0.048;-0.022450386;640.0539403;110432221.8;-0.002730982;0.00128844;0.0001;28.41953257;0.995257028;2.525573445;0.007255751;0.000000132;0.0000000107;0.0000000082;0.000000104;0.003644315;0.003708857;4.098442288;1.907107982;1.6426748;3.901856753;6.926632747;2.443085804;2;0.000322357;0.00094915;0.0000000000000017
2020-10-26 18.47.19 cell;0.000000000281;0.0001;0.025248778;-0.048;-0.022040785;338.3562108;130034558;-0.002181266;-0.003898817;0.0001;11.01648708;-0.900886945;4.961992539;0.008537726;0.000000872;0.000000444;0.00000000954;0.000000111;0.003038354;0.003115178;8;3.119906532;0.240755834;3.318160252;6.54584546;2.829090674;2;0.001159159;0.001484753;0.0000000000000017
2020-10-28 17.46.05 cell;0.000000000275;0.0001;0.025248778;-0.048;-0.023411751;1142.318976;82217866.62;0.005235069;0.00033134;0.0001;2.527991565;0.761927814;-4.093696582;0.002973515;0.000001;0.0000000278;0.0000000118;0.0000000918;0.004659191;0.003230705;4.223339529;1.830536013;5.592777655;3.196528772;7.367400475;2.632978236;2;0.000540317;0.001419777;0.0000000000000017